ID,Gene.symbol,Gene.title,log2_fold_change,.-log10(Pvalue)(Infiltrating ductal carcinoma vs Normal),adj.P.Val
211970_x_at,ACTG1///ACTB,actin gamma 1///actin beta,0.445,2.67,0.0115
211978_x_at,LOC101060363///PPIA,peptidyl-prolyl cis-trans isomerase A pseudogene///peptidylprolyl isomerase A,0.503,2.744,0.03
211979_at,GPR107,G protein-coupled receptor 107,0.618,2.842,0.0257
211981_at,COL4A1,collagen type IV alpha 1 chain,-0.505,3.327,0.0113
211983_x_at,ACTG1///ACTB,actin gamma 1///actin beta,0.463,2.821,0.0115
211987_at,TOP2B,topoisomerase (DNA) II beta,0.749,3.155,0.015
211991_s_at,HLA-DPA1,"major histocompatibility complex, class II, DP alpha 1",0.858,2.523,0.0426
211995_x_at,ACTG1///ACTB,actin gamma 1///actin beta,0.532,2.848,0.0115
211998_at,MIR4738///H3F3B///H3F3A,"microRNA 4738///H3 histone, family 3B///H3 histone, family 3A",-0.953,3.001,0.0195
212006_at,UBXN4,UBX domain protein 4,1.193,4.989,0.000598
212013_at,PXDN,peroxidasin,-1.125,4.531,0.00133
212015_x_at,MIR4745///PTBP1,microRNA 4745///polypyrimidine tract binding protein 1,0.884,3.736,0.000139
212036_s_at,PNN,"pinin, desmosome associated protein",1.308,6.317,0.0000548
212037_at,PNN,"pinin, desmosome associated protein",0.431,2.469,0.0000548
212058_at,U2SURP,U2 snRNP associated SURP domain containing,0.593,2.476,0.046
212062_at,ATP9A,ATPase phospholipid transporting 9A (putative),-0.775,2.763,0.0291
212071_s_at,SPTBN1,"spectrin beta, non-erythrocytic 1",-0.999,5.483,0.000251
212072_s_at,CSNK2A1,casein kinase 2 alpha 1,0.856,3.299,0.0117
212091_s_at,COL6A1,collagen type VI alpha 1 chain,-0.523,2.523,0.0426
212092_at,PEG10,paternally expressed 10,0.92,3.082,0.017
212097_at,CAV1,caveolin 1,-1.423,5.505,0.00000277
212111_at,STX12,syntaxin 12,-0.663,3.221,0.00000286
212112_s_at,STX12,syntaxin 12,-1.129,7.897,0.00000286
212116_at,TRIM27,tripartite motif containing 27,1.065,5.854,0.00013
212119_at,RHOQ,ras homolog family member Q,-0.706,2.989,0.0027
212122_at,RHOQ,ras homolog family member Q,-1.184,4.15,0.0027
212132_at,LSM14A,"LSM14A, mRNA processing body assembly factor",0.551,2.474,0.046
212134_at,MIR6716///PHLDB1,microRNA 6716///pleckstrin homology like domain family B member 1,-0.747,5.538,0.000232
212153_at,POGZ,pogo transposable element with ZNF domain,0.859,3.496,0.0084
212165_at,TMEM183B///TMEM183A,transmembrane protein 183B///transmembrane protein 183A,0.72,2.803,0.0273
212219_at,PSME4,proteasome activator subunit 4,1.539,6.947,0.0000163
212224_at,ALDH1A1,aldehyde dehydrogenase 1 family member A1,-0.949,2.611,0.0371
212230_at,PLPP3,phospholipid phosphatase 3,-1.015,4.147,0.00271
212235_at,PLXND1,plexin D1,-0.619,2.504,0.044
212236_x_at,KRT17///JUP,keratin 17///junction plakoglobin,0.974,5.155,0.000457
212242_at,TUBA4A,tubulin alpha 4a,0.562,3.042,0.0181
212256_at,GALNT10,polypeptide N-acetylgalactosaminyltransferase 10,0.665,2.587,0.0386
212281_s_at,TMEM97,transmembrane protein 97,2.727,11.248,6.62E-09
212282_at,TMEM97,transmembrane protein 97,1.567,8.324,6.62E-09
212287_at,SUZ12,SUZ12 polycomb repressive complex 2 subunit,0.749,3.667,0.00626
212328_at,LIMCH1,LIM and calponin homology domains 1,-1.365,3.988,0.00357
212342_at,YIPF6,Yip1 domain family member 6,0.86,2.471,0.0461
212348_s_at,KDM1A,lysine demethylase 1A,0.748,3.557,0.00757
212354_at,SULF1,sulfatase 1,0.674,3.517,0.00809
212363_x_at,ACTG1///ACTB,actin gamma 1///actin beta,0.552,2.823,0.0115
212367_at,FEM1B,fem-1 homolog B,0.551,3.304,0.0116
212380_at,CMTR1,cap methyltransferase 1,0.534,2.863,0.0248
212390_at,LOC101930416///LOC101929792///LOC100996724///PDE4DIP,myomegalin-like///uncharacterized LOC101929792///phosphodiesterase 4D interacting protein-like///phosphodiesterase 4D interacting protein,-0.594,2.512,0.0436
212405_s_at,METTL13,methyltransferase like 13,0.573,2.552,0.0407
212417_at,SCAMP1,secretory carrier membrane protein 1,0.749,3.78,0.00515
212419_at,ZCCHC24,zinc finger CCHC-type containing 24,-1.15,6.071,0.0000852
212430_at,RBM38,RNA binding motif protein 38,0.488,3.023,0.0187
212433_x_at,SNORA64///RPS2,"small nucleolar RNA, H/ACA box 64///ribosomal protein S2",0.632,3.686,0.00606
212442_s_at,CERS6,ceramide synthase 6,0.94,4.275,0.000106
212446_s_at,CERS6,ceramide synthase 6,0.956,5.958,0.000106
212449_s_at,LYPLA1,lysophospholipase I,0.628,3.046,0.018
212457_at,TFE3,transcription factor binding to IGHM enhancer 3,-0.849,3.06,0.0176
212460_at,SPTSSA,serine palmitoyltransferase small subunit A,0.895,6.263,0.0000602
212464_s_at,FN1,fibronectin 1,1.702,6.298,0.0000567
212481_s_at,TPM4,tropomyosin 4,0.777,4.016,0.0034
212494_at,TNS2,tensin 2,-0.549,2.551,0.0407
212533_at,WEE1,WEE1 G2 checkpoint kinase,0.949,5.181,0.000433
212539_at,CHD1L,chromodomain helicase DNA binding protein 1 like,0.625,3.779,0.00516
212541_at,FLAD1,flavin adenine dinucleotide synthetase 1,0.794,3.632,0.00662
212542_s_at,PHIP,pleckstrin homology domain interacting protein,0.943,2.584,0.0388
212551_at,CAP2,"CAP, adenylate cyclase-associated protein, 2 (yeast)",-0.69,3.808,0.0049
212556_at,SCRIB,scribbled planar cell polarity protein,0.882,3.518,0.00809
212560_at,SORL1,sortilin related receptor 1,0.72,4.602,0.00119
212591_at,ARID4B///RBM34,AT-rich interaction domain 4B///RNA binding motif protein 34,1.03,3.745,0.00547
212592_at,JCHAIN,joining chain of multimeric IgA and IgM,1.155,4.707,0.000993
212599_at,AUTS2,autism susceptibility candidate 2,0.426,2.566,0.0399
212621_at,NEMP1,nuclear envelope integral membrane protein 1,0.848,4.64,0.00112
212622_at,TMEM41B,transmembrane protein 41B,0.48,3.392,0.0101
212626_x_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),1.016,4.687,0.00103
212627_s_at,EXOSC7,exosome component 7,0.498,2.45,0.000429
212636_at,QKI,"QKI, KH domain containing RNA binding",-0.924,5.593,0.00021
212647_at,RRAS,related RAS viral (r-ras) oncogene homolog,-0.575,2.708,0.0316
212653_s_at,EHBP1,EH domain binding protein 1,-1.374,5.226,0.000408
212667_at,SPARC,secreted protein acidic and cysteine rich,-0.62,2.463,0.0468
212676_at,NF1P9///NF1,neurofibromin 1 pseudogene 9///neurofibromin 1,0.65,3.049,0.0179
212686_at,PPM1H,"protein phosphatase, Mg2+/Mn2+ dependent 1H",1.087,3.966,0.00372
212696_s_at,RNF4,ring finger protein 4,0.797,3.107,0.0164
212703_at,TLN2,talin 2,-0.497,2.728,0.0306
212709_at,NUP160,nucleoporin 160,0.798,3.29,0.0119
212741_at,MAOA,monoamine oxidase A,-2.438,11.119,8.33E-09
212766_s_at,ISG20L2,interferon stimulated exonuclease gene 20 like 2,0.982,3.411,0.00976
212770_at,TLE3,transducin like enhancer of split 3,0.567,3.624,0.00672
212776_s_at,OBSL1,obscurin like 1,0.875,3.272,0.0123
212781_at,RBBP6,"RB binding protein 6, ubiquitin ligase",0.537,2.767,0.029
212836_at,POLD3,"DNA polymerase delta 3, accessory subunit",0.513,2.584,0.0387
212845_at,SAMD4A,sterile alpha motif domain containing 4A,-0.74,5.206,0.000418
212847_at,FUBP1,far upstream element binding protein 1,0.506,2.474,0.00000135
212867_at,NCOA2,nuclear receptor coactivator 2,0.694,3.447,0.00921
212875_s_at,C2CD2,C2 calcium dependent domain containing 2,-0.965,4.31,0.002
212879_x_at,PIAS4,protein inhibitor of activated STAT 4,0.94,3.104,0.0164
212885_at,MPHOSPH10,M-phase phosphoprotein 10,0.449,2.696,0.0322
212886_at,CCDC69,coiled-coil domain containing 69,-2.308,8.292,0.00000142
212893_at,ZZZ3,zinc finger ZZ-type containing 3,0.617,3.522,0.00805
212915_at,PDZRN3,PDZ domain containing ring finger 3,-0.746,3.169,0.0146
212921_at,SMYD2,SET and MYND domain containing 2,0.878,3.281,0.0121
212931_at,TCF20,transcription factor 20,0.758,4.618,0.00116
212950_at,ADGRF5,adhesion G protein-coupled receptor F5,-0.673,2.643,0.0352
212962_at,SYDE1,synapse defective Rho GTPase homolog 1,0.584,2.548,0.0409
212963_at,TM2D1,TM2 domain containing 1,-0.607,2.86,0.0249
212988_x_at,ACTG1///ACTB,actin gamma 1///actin beta,0.448,2.859,0.0115
212993_at,NACC2,NACC family member 2,-1.019,3.529,0.00794
213001_at,ANGPTL2,angiopoietin like 2,-0.505,3.101,0.0164
213005_s_at,KANK1,KN motif and ankyrin repeat domains 1,-0.859,6.459,0.0000412
213009_s_at,TRIM37,tripartite motif containing 37,0.554,2.505,0.044
213010_at,PRKCDBP,protein kinase C delta binding protein,-0.823,3.495,0.00841
213017_at,ABHD3,abhydrolase domain containing 3,0.497,2.526,0.0424
213047_x_at,SETSIP///SET,SET-like protein///SET nuclear proto-oncogene,0.443,2.857,0.0056
213049_at,RALGAPA1,Ral GTPase activating protein catalytic alpha subunit 1,0.583,3.474,0.00873
213050_at,COBL,cordon-bleu WH2 repeat protein,0.777,2.924,0.0222
213062_at,NTAN1,N-terminal asparagine amidase,-0.686,2.568,0.0398
213068_at,DPT,dermatopontin,-2.279,8.822,0.000000353
213071_at,DPT,dermatopontin,-2.595,9.044,0.000000353
213077_at,YTHDC2,YTH domain containing 2,0.805,2.937,0.0217
213085_s_at,WWC1,WW and C2 domain containing 1,0.533,2.737,0.0303
213086_s_at,CSNK1A1,casein kinase 1 alpha 1,0.452,2.667,0.0339
213089_at,LOC100272216,uncharacterized LOC100272216,0.71,4.502,0.0014
213098_at,CNOT9,CCR4-NOT transcription complex subunit 9,0.76,2.765,0.029
213099_at,ANGEL1,angel homolog 1,1.074,4.216,0.0024
213101_s_at,ACTR3,ARP3 actin related protein 3 homolog,0.541,2.986,0.000825
213136_at,PTPN2,"protein tyrosine phosphatase, non-receptor type 2",0.793,3.084,0.0169
213140_s_at,SS18L1,"SS18L1, nBAF chromatin remodeling complex subunit",0.609,3.714,0.00575
213150_at,HOXA10,homeobox A10,-1.18,3.903,0.00414
213152_s_at,SRSF8,serine and arginine rich splicing factor 8,0.704,3.306,0.0116
213156_at,ZBTB20,zinc finger and BTB domain containing 20,-0.815,3.01,0.0192
213175_s_at,SNRPB,small nuclear ribonucleoprotein polypeptides B and B1,1.708,7.34,0.00000777
213214_x_at,ACTG1///ACTB,actin gamma 1///actin beta,0.501,3.02,0.0115
213221_s_at,SIK2,salt inducible kinase 2,-1.232,6.811,0.000021
213226_at,CCNA2,cyclin A2,1.032,8.939,0.000000414
213227_at,PGRMC2,progesterone receptor membrane component 2,-0.592,2.712,0.0313
213235_at,KNOP1,lysine rich nucleolar protein 1,0.701,2.865,0.0247
213236_at,SASH1,SAM and SH3 domain containing 1,-1.074,4.733,0.000952
213247_at,SVEP1,"sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1",-1.041,6.55,0.0000343
213269_at,ZNF248,zinc finger protein 248,0.624,2.452,0.0476
213301_x_at,TRIM24,tripartite motif containing 24,0.703,3.348,0.0109
213309_at,PLCL2,phospholipase C like 2,-1.122,5.279,0.00037
213341_at,FEM1C,fem-1 homolog C,1.116,4.543,0.00131
213348_at,CDKN1C,cyclin dependent kinase inhibitor 1C,-0.885,5.966,0.00000164
213359_at,HNRNPD,heterogeneous nuclear ribonucleoprotein D,1.463,5.135,0.000469
213364_s_at,SNX1,sorting nexin 1,-1.147,6.276,0.000059
213397_x_at,RNASE4,ribonuclease A family member 4,-0.922,4.566,0.00127
213399_x_at,RPN2,ribophorin II,0.537,2.725,0.0161
213414_s_at,RPS19,ribosomal protein S19,0.393,2.423,0.0231
213425_at,WNT5A,Wnt family member 5A,1.067,3.483,0.00859
213451_x_at,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),-1.361,6.857,0.0000045
213459_at,RPL37A,ribosomal protein L37a,0.59,3.124,0.0158
213460_x_at,NSUN5P2///NSUN5P1,NOP2/Sun RNA methyltransferase family member 5 pseudogene 2///NOP2/Sun RNA methyltransferase family member 5 pseudogene 1,0.576,3.204,0.0138
213486_at,COPG2IT1,COPG2 imprinted transcript 1 (non-protein coding),-1.193,7.315,0.00000813
213491_x_at,RPN2,ribophorin II,1.06,3.113,0.0161
213502_x_at,GUSBP11,"glucuronidase, beta pseudogene 11",1.985,6.776,0.0000223
213506_at,F2RL1,F2R like trypsin receptor 1,0.841,2.785,0.0281
213508_at,SPTSSA,serine palmitoyltransferase small subunit A,0.617,2.619,0.0000602
213511_s_at,MTMR1,myotubularin related protein 1,0.87,3.99,0.00288
213515_x_at,HBG2///HBG1,hemoglobin subunit gamma 2///hemoglobin subunit gamma 1,-0.94,2.987,0.0000341
213518_at,PRKCI,protein kinase C iota,1.436,7.467,0.00000618
213524_s_at,G0S2,G0/G1 switch 2,-1.244,7.021,0.0000142
213553_x_at,APOC1,apolipoprotein C1,0.669,3.582,0.00724
213571_s_at,EIF4E2,eukaryotic translation initiation factor 4E family member 2,0.664,3.751,0.00543
213605_s_at,,,1.949,7.766,#N/D
213618_at,ARAP2,"ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2",0.767,2.969,0.0206
213620_s_at,ICAM2,intercellular adhesion molecule 2,-1.26,3.202,0.0138
213628_at,CLCC1,chloride channel CLIC like 1,-0.405,2.582,0.00967
213648_at,EXOSC7,exosome component 7,0.967,5.188,0.000429
213671_s_at,MIR6758///MARS,microRNA 6758///methionyl-tRNA synthetase,0.475,3.057,0.0177
213675_at,PARVA,parvin alpha,-0.433,2.618,0.0368
213684_s_at,PDLIM5,PDZ and LIM domain 5,1.128,3.324,0.0113
213693_s_at,MUC1,"mucin 1, cell surface associated",2.504,10.797,1.37E-08
213706_at,GPD1,glycerol-3-phosphate dehydrogenase 1,-1.986,7.288,0.000000579
213718_at,RBM14-RBM4///RBM4,RBM14-RBM4 readthrough///RNA binding motif protein 4,0.649,3.802,0.00497
213720_s_at,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",1.317,5.405,0.000279
213721_at,SOX2,SRY-box 2,0.815,2.438,0.0487
213756_s_at,HSF1,heat shock transcription factor 1,-0.989,4.955,0.000632
213764_s_at,MFAP5,microfibrillar associated protein 5,-2.372,6.32,0.0000547
213765_at,MFAP5,microfibrillar associated protein 5,-1.235,4.813,0.0000547
213786_at,TAX1BP1,Tax1 binding protein 1,0.967,4.33,0.00193
213793_s_at,HOMER1,homer scaffolding protein 1,1.513,6.129,0.000077
213797_at,RSAD2,radical S-adenosyl methionine domain containing 2,0.933,4.259,0.0022
213800_at,CFH,complement factor H,-1.085,4.011,0.00343
213808_at,ADAM23,ADAM metallopeptidase domain 23,-0.804,3.538,0.00781
213857_s_at,CD47,CD47 molecule,0.663,3.625,0.00671
213859_x_at,SMARCA5,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5",0.448,2.647,0.0349
213860_x_at,CSNK1A1,casein kinase 1 alpha 1,0.429,2.477,0.0339
213901_x_at,RBFOX2,"RNA binding protein, fox-1 homolog 2",-0.538,2.531,0.0421
213911_s_at,H2AFZ,H2A histone family member Z,0.942,5.007,0.000578
213913_s_at,TBC1D30,TBC1 domain family member 30,1.33,6.245,0.0000618
213931_at,ID2B///ID2,"inhibitor of DNA binding 2B, HLH protein (pseudogene)///inhibitor of DNA binding 2, HLH protein",1.022,4.764,0.000896
213933_at,PTGER3,prostaglandin E receptor 3,-1.366,6.531,0.0000355
213940_s_at,FNBP1,formin binding protein 1,0.646,2.655,0.0345
214039_s_at,LAPTM4B,lysosomal protein transmembrane 4 beta,0.539,3.913,0.00000244
214047_s_at,MBD4,"methyl-CpG binding domain 4, DNA glycosylase",0.922,4.188,0.00253
214063_s_at,TF,transferrin,-2.472,8.815,0.00000051
214091_s_at,GPX3,glutathione peroxidase 3,-0.59,2.564,0.0000592
214093_s_at,FUBP1,far upstream element binding protein 1,1.429,8.319,0.00000135
214096_s_at,SHMT2,serine hydroxymethyltransferase 2,0.871,4.58,0.00124
214097_at,RPS21,ribosomal protein S21,1.051,3.656,0.00636
214113_s_at,RBM8A,RNA binding motif protein 8A,0.698,5.494,0.000247
214143_x_at,RPL24,ribosomal protein L24,0.482,2.976,0.0203
214164_x_at,CA12,carbonic anhydrase 12,0.696,4.059,0.00315
214173_x_at,URI1,"URI1, prefoldin like chaperone",0.442,2.424,0.0498
214193_s_at,DIEXF,digestive organ expansion factor homolog (zebrafish),0.727,2.567,0.0399
214209_s_at,ABCB9,ATP binding cassette subfamily B member 9,0.641,2.532,0.0421
214212_x_at,FERMT2,fermitin family member 2,-1.299,4.962,0.000527
214247_s_at,DKK3,dickkopf WNT signaling pathway inhibitor 3,0.694,4.002,0.00349
214280_x_at,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,0.923,5.242,0.000397
214297_at,CSPG4,chondroitin sulfate proteoglycan 4,-1.285,7.477,0.00000611
214328_s_at,HSP90AA1,heat shock protein 90 alpha family class A member 1,0.381,2.506,0.00843
214344_at,LINC00950,long intergenic non-protein coding RNA 950,-0.712,3.181,0.0143
214414_x_at,HBA2///HBA1,hemoglobin subunit alpha 2///hemoglobin subunit alpha 1,-1.901,9.569,0.000000154
214428_x_at,C4B_2///C4B///C4A,"complement component 4B (Chido blood group), copy 2///complement component 4B (Chido blood group)///complement component 4A (Rodgers blood group)",0.647,4.519,0.000229
214434_at,HSPA12A,heat shock protein family A (Hsp70) member 12A,-0.49,2.743,0.0301
214436_at,FBXL2,F-box and leucine rich repeat protein 2,0.678,2.778,0.0284
214439_x_at,BIN1,bridging integrator 1,-1.204,6.778,0.000000339
214440_at,NAT1,N-acetyltransferase 1,0.698,3.545,0.00774
214456_x_at,SAA2///SAA1,serum amyloid A2///serum amyloid A1,-3.342,10.809,1.37E-08
214481_at,HIST1H2AM,"histone cluster 1, H2am",0.639,2.679,0.0331
214501_s_at,H2AFY,H2A histone family member Y,0.494,2.443,0.0436
214505_s_at,FHL1,four and a half LIM domains 1,-1.636,7.82,1.41E-08
214580_x_at,KRT6C///KRT6B///KRT6A,keratin 6C///keratin 6B///keratin 6A,0.749,3.261,0.0124
214594_x_at,ATP8B1,ATPase phospholipid transporting 8B1,0.67,3.234,0.0131
214614_at,MNX1,motor neuron and pancreas homeobox 1,1.62,6.176,0.0000707
214642_x_at,MAGEA10-MAGEA5///MAGEA5,MAGEA10-MAGEA5 readthrough///MAGE family member A5,0.417,2.44,0.0485
214658_at,TMED7-TICAM2///TMED7,TMED7-TICAM2 readthrough///transmembrane p24 trafficking protein 7,0.604,2.451,0.0476
214660_at,ITGA1,integrin subunit alpha 1,-0.9,2.551,0.0407
214669_x_at,IGKC,immunoglobulin kappa constant,0.943,5.495,0.000247
214677_x_at,IGLC1,immunoglobulin lambda constant 1,2.507,7.807,0.00000204
214700_x_at,RIF1,replication timing regulatory factor 1,0.62,3.57,0.00739
214705_at,PATJ,"PATJ, crumbs cell polarity complex component",1.751,5.604,0.000207
214707_x_at,ALMS1,"ALMS1, centrosome and basal body associated protein",0.399,2.926,0.0222
214723_x_at,ANKRD36,ankyrin repeat domain 36,1.182,3.105,0.0164
214728_x_at,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",1.113,5.26,0.000279
214733_s_at,YIPF1,Yip1 domain family member 1,0.785,4.432,0.0016
214737_x_at,HNRNPC,heterogeneous nuclear ribonucleoprotein C (C1/C2),0.647,3.886,0.00103
214773_x_at,TIPRL,TOR signaling pathway regulator,0.848,4.118,0.00285
214774_x_at,TOX3,TOX high mobility group box family member 3,1.126,3.798,0.00499
214820_at,BRWD1,bromodomain and WD repeat domain containing 1,1.093,3.958,0.00375
214833_at,TMEM63A,transmembrane protein 63A,0.574,2.622,0.0365
214836_x_at,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant,1.032,4.103,0.0000354
214855_s_at,RALGAPA1///RALGAPA1P1,Ral GTPase activating protein catalytic alpha subunit 1///Ral GTPase activating protein catalytic alpha subunit 1 pseudogene 1,0.619,3.271,0.0123
214882_s_at,MIR636///SRSF2,microRNA 636///serine and arginine rich splicing factor 2,0.672,4.27,0.00051
214902_x_at,LPP,LIM domain containing preferred translocation partner in lipoma,0.445,2.751,0.0298
214934_at,ATP9B,ATPase phospholipid transporting 9B (putative),-0.903,3.411,0.00976
214950_at,IL9R,interleukin 9 receptor,0.625,2.925,0.0222
215017_s_at,FNBP1L,formin binding protein 1 like,0.949,5.102,0.000496
215039_at,LINC01140,long intergenic non-protein coding RNA 1140,-0.984,3.903,0.00414
215108_x_at,TOX3,TOX high mobility group box family member 3,0.881,2.555,0.00499
215121_x_at,CYAT1///IGLV1-44///IGLC1,immunoglobulin lambda light chain-like///immunoglobulin lambda variable 1-44///immunoglobulin lambda constant 1,1.757,6.575,0.0000331
215171_s_at,TIMM17A,translocase of inner mitochondrial membrane 17 homolog A (yeast),0.667,3.887,0.00425
215176_x_at,IGK///IGKC,immunoglobulin kappa locus///immunoglobulin kappa constant,1.038,2.777,0.0000354
215235_at,SPTAN1,"spectrin alpha, non-erythrocytic 1",-0.664,2.783,0.0282
215241_at,ANO3,anoctamin 3,-0.703,3.503,0.0083
215245_x_at,FMR1,fragile X mental retardation 1,0.577,3.064,0.0175
215281_x_at,POGZ,pogo transposable element with ZNF domain,-0.984,3.44,0.0084
215304_at,,,0.707,3.135,#N/D
215306_at,,,-0.628,3.088,#N/D
215337_at,MED24,mediator complex subunit 24,-0.757,2.499,0.0443
215379_x_at,IGLV1-44,immunoglobulin lambda variable 1-44,2.587,9.017,0.000000357
215380_s_at,GGCT,gamma-glutamylcyclotransferase,0.675,4.592,0.00121
215387_x_at,,,0.496,2.458,#N/D
215392_at,,,0.925,2.664,#N/D
215404_x_at,FGFR1,fibroblast growth factor receptor 1,0.697,3.709,0.0058
215445_x_at,,,0.426,2.472,#N/D
215492_x_at,PTCRA,pre T-cell antigen receptor alpha,-0.518,2.842,0.0257
215529_x_at,DIP2A,disco interacting protein 2 homolog A,0.632,3.316,0.0115
215552_s_at,ESR1,estrogen receptor 1,0.585,2.762,0.0291
215587_x_at,,,0.885,4.686,#N/D
215595_x_at,,,0.601,2.476,#N/D
215597_x_at,LOC101929165,uncharacterized LOC101929165,0.579,2.652,0.0348
215599_at,GUSBP9///GUSBP3,"glucuronidase, beta pseudogene 9///glucuronidase, beta pseudogene 3",1.188,2.674,0.0335
215629_s_at,MIR15A///DLEU2L///DLEU2,microRNA 15a///deleted in lymphocytic leukemia 2-like///deleted in lymphocytic leukemia 2 (non-protein coding),0.809,4.594,0.00121
215660_s_at,MAST2,microtubule associated serine/threonine kinase 2,-0.916,3.365,0.0105
215691_x_at,HSPB11,heat shock protein family B (small) member 11,0.475,2.858,0.025
215695_s_at,GYG2,glycogenin 2,-2.22,9.98,4.71E-09
215722_s_at,SNRPA1,small nuclear ribonucleoprotein polypeptide A',0.684,3.269,0.0123
215727_x_at,ARMCX6,"armadillo repeat containing, X-linked 6",-0.547,2.61,0.0372
215768_at,,,-0.555,2.828,#N/D
215779_s_at,HIST1H2BJ///HIST1H2BG,"histone cluster 1, H2bj///histone cluster 1, H2bg",0.717,2.716,0.0311
215867_x_at,CA12,carbonic anhydrase 12,0.6,3.762,0.00315
215884_s_at,UBQLN2,ubiquilin 2,0.618,2.556,0.0405
215920_s_at,NPIPA5///NPIPB6///NPIPB15///PDXDC2P///NPIPB3///NPIPA1,"nuclear pore complex interacting protein family member A5///nuclear pore complex interacting protein family member B6///nuclear pore complex interacting protein family member B15///pyridoxal dependent decarboxylase domain containing 2, pseudogene///nuclear pore complex interacting protein family member B3///nuclear pore complex interacting protein family member A1",-0.733,2.436,0.0488
215946_x_at,IGLL3P,"immunoglobulin lambda like polypeptide 3, pseudogene",1.211,6.375,0.0000489
215977_x_at,GK,glycerol kinase,-0.657,2.574,0.0394
216095_x_at,MTMR1,myotubularin related protein 1,0.917,4.113,0.00288
216187_x_at,,,0.604,2.731,#N/D
216207_x_at,IGKC,immunoglobulin kappa constant,1.276,4.928,0.000247
216237_s_at,MCM5,minichromosome maintenance complex component 5,0.809,3.309,0.0115
216306_x_at,MIR4745///PTBP1,microRNA 4745///polypyrimidine tract binding protein 1,0.526,3.738,0.000139
216321_s_at,NR3C1,nuclear receptor subfamily 3 group C member 1,-0.82,3.717,0.00571
216331_at,ITGA7,integrin subunit alpha 7,-1.537,8.779,0.00000054
216333_x_at,TNXB///TNXA,tenascin XB///tenascin XA (pseudogene),-0.805,3.59,0.0000045
216336_x_at,MT1E,metallothionein 1E,-0.356,2.455,0.0473
216379_x_at,CD24,CD24 molecule,1.552,10.969,1.45E-11
216420_at,,,-0.665,2.688,#N/D
216442_x_at,FN1,fibronectin 1,0.878,4.794,0.0000567
216479_at,RPL21P28///SNORA27///SNORD102///RPL21,"ribosomal protein L21 pseudogene 28///small nucleolar RNA, H/ACA box 27///small nucleolar RNA, C/D box 102///ribosomal protein L21",0.527,2.424,0.0498
216524_x_at,,,0.386,2.434,#N/D
216526_x_at,HLA-C,"major histocompatibility complex, class I, C",0.578,2.63,0.0131
216594_x_at,AKR1C1,aldo-keto reductase family 1 member C1,-1.309,6.839,0.00000364
216596_at,DKFZP434L187,uncharacterized LOC26082,0.76,3.107,0.0164
216640_s_at,PDIA6,protein disulfide isomerase family A member 6,1.345,4.404,0.00168
216679_at,DDR1-AS1,DDR1 antisense RNA 1 (head to head),0.46,2.598,0.038
216682_s_at,SUPT20H,"SPT20 homolog, SAGA complex component",0.84,4.008,0.00345
216720_at,CYP2U1,cytochrome P450 family 2 subfamily U member 1,-0.534,2.991,0.0198
216834_at,RGS1,regulator of G-protein signaling 1,1.844,8.974,4.03E-10
216836_s_at,ERBB2,erb-b2 receptor tyrosine kinase 2,0.986,3.966,0.00372
216868_s_at,,,-1.314,5.494,#N/D
216886_at,CHRNA4,cholinergic receptor nicotinic alpha 4 subunit,0.789,2.606,0.0374
216894_x_at,CDKN1C,cyclin dependent kinase inhibitor 1C,-1.449,8.208,0.00000164
216925_s_at,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor",-0.649,2.512,0.0435
216929_x_at,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",-0.536,2.651,0.0348
216934_at,,,0.574,2.767,#N/D
216977_x_at,SNRPA1,small nuclear ribonucleoprotein polypeptide A',0.716,2.588,0.0123
217022_s_at,IGHA2///IGHA1///IGH,immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy constant alpha 1///immunoglobulin heavy locus,2.036,4.265,0.00218
217028_at,CXCR4,C-X-C motif chemokine receptor 4,1.184,8.745,0.000000564
217043_s_at,MFN1,mitofusin 1,0.764,3.451,0.00914
217047_s_at,FAM13A,family with sequence similarity 13 member A,-0.754,5.031,0.000553
217080_s_at,HOMER2,homer scaffolding protein 2,-0.59,2.897,0.0234
217152_at,,,0.713,3.309,#N/D
217191_x_at,,,0.653,2.671,#N/D
217198_x_at,IGHG1///IGHD///IGHA2///IGH,immunoglobulin heavy constant gamma 1 (G1m marker)///immunoglobulin heavy constant delta///immunoglobulin heavy constant alpha 2 (A2m marker)///immunoglobulin heavy locus,-0.508,2.599,0.0379
217200_x_at,CYB561,cytochrome b561,0.823,5.631,0.000154
